"Qual o material mais jogado no oceano?","Vidro","Papel","Borracha","Plástico"
"Por meio de seus diferentes usos e consumos, as atividades humanas interferem no ciclo da água, alterando:","A qualidade da água disponível, apenas no subsolo terrestre","Apenas a disponibilidade de água superficial existente nos rios e lagos","A quantidade total, mas não a qualidade da água disponível no planeta","A quantidade total, mas não a qualidade da água disponível no planeta"
"Qual das opções abaixo é um exemplo de reciclagem?","Acúmulo de Matéria Prima","Incineração","Todas as opções são exemplo de reciclagem","Coleta Seletiva"
"Sabemos que nunca é tarde de mais ou cedo de mais para aprendermos sobre certos assuntos, então responda, para daqui alguns anos termos um planeta mais limpo e melhor cuidado, desde quando deveríamos começar a prender sobre conservação do meio ambiente?","Quando adultos","Quando idosos","Quando crianças"
"O material que se decompõe mais rápido na natureza é...","O tecido","O metal",A madeira","O papel"
"Qual das alternativas evita o maior desperdício de água?","Banhos longos","Escovar os dentes com a torneira ligada","Utilizar a máquina de lavar com pequenas quantidades de roupas",""Utilização de regadores ao invés de mangueiras"
"Qual o número estimado de pessoas sem acesso à água potável no mundo?","300 milhões","400 milhões","600 milhões","900 milhões"
"Qual dos seguintes gases contribui para o efeito estufa?","Oxigênio","Vapor de Sulfito","Dióxido de Carbono","Cloro Flúor carboneto"
"Qual a diferença entre Preservação Ambiental e Conservação e Ambiental?","Preservação é a proteção do meio ambiente através dos animais e plantas e a conservação é feita pelos seres humanos","Preservação é o cuidado humano e a conservação é feita pela natureza.","Nenhuma das alternativas","Preservação é a proteção sem a interferência humana e a conservação é feita pelos seres humanos"
"O que é água mineral?","É a água que vem de minérios"," Nenhuma das alternativas","É água produzida em laboratórios","É a água que não contém sais minerais dissolvidos"
"Qual a sigla do ministério que cuida do meio ambiente?","MPA","MNO","LCL","MMA"
"Como preservar árvores e florestas?","Construindo uma casa na árvore","Reutilizando metais e vidros","Indo em parques","Reciclando papéis, jornais e revistas"
"O que é Reciclagem?","Jogar fora o lixo produzido","Coletar todo tipo de material existente em lixos recicláveis","Nome dado para todo o processo do lixo após seu descarte","Processo de transformação de materiais usados em novos produtos para consumo"
"O que é um Ambiente Espoliado","Ambiente originado de ações humanas",Ambiente ou faixa ambiental que possui multas características","Ambiente coberto de mata","Ambiente que possui recursos naturais escassos por uso excessivo ilegalmente"
"Qual das florestas abaixo não fica no Brasil?","Mata Atlântica","Pantanal","Caatinga","Tundr"
"Qual das gestões apresentadas é responsável pela administração do exercício de atividades econômicas e sociais na utilização de recursos naturais?","Gestão ecológica","Gestão política","Nenhuma das anteriores","Gestão de recursos naturais"
"Porque é importante preservar a Amazônia?","A Amazônia produz a maior parte do oxigênio que respiramos","É o lugar mais lindo do mundo","Possibilita a defesa milita","Concentra muita biodiversidade, água e tem um papel importante no clima"
"Qual dessas NÃO é uma atribuição do Ibama?","Executar ações para proteção de animais","Exercer o poder de polícia ambiental","Executar ações das políticas nacionais de meio ambiente, referentes às atribuições federais","Executar planos de gestão de bacias hidrográficas do país"
"Por quantos por cento de água a terra é coberta?","Aproximadamente 78%","Aproximadamente 65%","Aproximadamente 80%","Aproximadamente 71%"
"Quais dos materiais abaixo podem gerar algum tipo de combustível?","Óleo e metal","Papel e plástico","Apenas óleo de cozinha","Plástico e óleo de cozinha"
"Que tipo de material gera mais resíduos no Brasil, com 52%?","Vidro","Plástico","Papel","matéria orgânica"
"Qual é o país número 1 em reciclagem de alumínio?","Alemanha","Estados Unidos","Japão","Brasil"
"Qual é a porcentagem do lixo que é reciclado no Brasil?","4%","17%","40%","2%"
"Qual cor não sinaliza a separação de resíduos para reciclagem?","Cinza","Vermelho","Azul","Rosa"
"Assinale a alternativa que aponta corretamente os objetos que NÃO podem ser reciclados","Prato de isopor (plástico); papelão; frasco de perfume; papel alumínio","Embalagem de xampu; jornal; copo de requeijão (vidro); lacre","Todos acima são recicláveis","Embalagem de salgadinho (plástico); papel celofane; prato Duralex (vidro); esponja de aço"
"Quais são as consequências mais diretas do despejo inadequado do lixo?","Chuvas ácidas e o buraco na camada de ozônio","Extinção de algumas espécies de animais, plantas e bactérias",Esgotamento dos reservatórios de água no planeta e estiagem","Enchentes e doenças"
"Qual o significado da sigla Ibama?","Instituto Brasileiro da Amazônia","nstituto Brasileiro de Meio Ambiente, Sustentabilidade e Energia Limpa","Energia Sustentável Brasileira","Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis"
"Quanto tempo o vidro leva para se decompor na natureza?","300 anos","1000 anos","100 anos","O vidro não é biodegradável"
"A vegetação que predomina na caatinga é a?","Savana","Úmida","Tropical","Seca"
"Por quantos por cento de água a terra é coberta?","Aproximadamente 90%","Aproximadamente 81%","Aproximadamente 65%","Aproximadamente 71%"
